USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON
d4b3dccbf71946ae604d142792d1371b549a8a8e,22/08/22 00:00,5,5,0
950ecfee6ee85398628e33a256daccedab6c5e7e,10/02/22 00:00,15,15,0
950ecfee6ee85398628e33a256daccedab6c5e7e,24/07/22 00:00,15,15,2
9bccb7e16df4195aa74b25e8a7b88ca803d44e2a,12/09/22 00:00,4,3,0
01b9d4a84ad6297f78ad98fcfc82d245813332fa,25/09/21 00:00,5,5,0
a4445bdc56e15e4c4e3f4996bd48654aa283378b,15/07/22 00:00,39,39,0
f863516432f44e16b90f66d4f34585c7183934a6,22/02/21 00:00,29,11,0
2b485532a0f4795ee8b4685adba524e00b4f154b,29/07/22 00:00,18,17,6
d90f8f1160d5e7bf868003b2509de08e7c48a39a,06/03/22 00:00,2,2,0
847387d973b383adb39b03239937ef79ffc58b15,28/05/21 00:00,2,2,0
6cbb9f9b4a3185ad0ea805dee5ccd280f11cfb6f,18/07/22 00:00,18,18,0
86333f7aab5c93a24ca83ae8752f3fdb8525c56c,21/07/22 00:00,3,2,0
3091c6da7d637c082114bbe291daabb993a18864,09/07/21 00:00,7,7,0
415566e004984054b8dedd35fbb39e5175b41684,23/06/22 00:00,5,5,0
94aeebdd5a8205ff7b98f132fc4749db42a3e8b5,30/10/22 00:00,10,9,0
024c31079e259c8bb1d5bc5ef72e16af833665d5,16/01/22 00:00,56,25,1
c3a231d2697a75d7af05258e478ed0fde8657e3f,14/01/23 00:00,1,1,0
f863516432f44e16b90f66d4f34585c7183934a6,15/03/21 00:00,1,1,0
6ef50406fb4bba0458357e125ef4c3b508333fd9,06/01/23 00:00,2,2,0
e51cf7b8dd1e1d5e12c87446cdf797bf702f08cb,29/09/22 00:00,15,11,0
aa7d3eb45b4cbd885a115378b2f34189667f3fb5,25/07/21 00:00,1,1,0
cded88cc28544571d366e20c9bc5267997f10f92,24/08/22 00:00,2,2,0
2d720a9437744bda95814eb9d5c5b62cf2e23592,15/05/21 00:00,0,0,0
8e18f4a6d22ceb3a83489bf43859b5bf7b8c632f,17/02/22 00:00,3,2,0
75d34cde62a69edb529a46f26eaf718792318d2a,21/05/21 00:00,6,5,0
f3a74488a3752019d6d7bc7ef1c893ff6703e725,02/07/22 00:00,3,3,1
e3c2a7bbe817ff1fceb9ae5823ada9d42767a3d1,24/04/21 00:00,6,6,0
530f83baa45b90639ccf59501e19677c08260ee0,03/07/22 00:00,7,6,0
bda957a1e8bda9cee93ab2a318d9dd88f9cafe41,20/12/22 00:00,3,3,0
a28f3384c88923329794dd743800e7fe181f76f9,10/04/22 00:00,20,19,1
177ed36584bdcc85648da53dfcbe689432c9a230,25/09/21 00:00,6,6,0
faf71e8c2f3c193d12338d7d87a8600679e842b9,24/06/22 00:00,3,3,0
790f10d6c2e0107ea2e8a8a3a56016b1626042da,27/11/21 00:00,23,23,0
5b2e4030668b348def1824e5110ba38bb1e82b23,02/10/21 00:00,3,3,0
b3f50ce7057135043e369b68d7aa7a5eb0af34b6,21/06/21 00:00,18,18,0
a9ccf228e6b4541a7aae536785319dc7c4963576,24/07/21 00:00,1,1,0
85b32489e348476f2f65ba7bbaeec91e26e9ceda,19/10/22 00:00,16,15,0
6ba7546e5a89119a78f530fd9d5c453c1368d017,10/04/22 00:00,1,1,0
797f1c1cc2fccd5a5f76f8473eb36a7f9718fd3c,17/08/22 00:00,0,0,0
5d8748413c0d2977bcf2dc55e3fa1dfd10d9e468,27/04/22 00:00,2,2,0
8b05eb3e8f25d58e0faf26738e8c0724e5f7bf35,09/07/22 00:00,22,20,6
261e2c1e444b9c73a39e936d1cd64425e5a583df,04/02/23 00:00,1,1,0
385db21bef7dcc2f22469f52158efb03f789f4e8,01/09/22 00:00,5,4,0
415566e004984054b8dedd35fbb39e5175b41684,24/06/22 00:00,6,6,0
fdac3491c2224e5f35fda037f37eeedf82d5b882,31/08/21 00:00,1,1,0
dd07e569296e2b6a032ad1188ba263fb349025dd,27/06/22 00:00,10,10,3
72e4c09b515fb6d54395b40463f0b1f64219f61d,14/01/23 00:00,15,13,0
2d77c6ee2ba6114db1e31b36f55f890dc826653a,24/06/21 00:00,19,19,0
c08c03038afc1460bcefadce1b9dcba3bc404537,23/07/21 00:00,3,3,0
8420f79e2da93c9714c306d5a8086511dcce153c,12/07/22 00:00,5,5,1
a6705327a22d3b3ecee1e35b9f165c23fe4569f2,25/06/22 00:00,3,3,0
f27a60dd56185bde9c317f9687f05063c7193721,28/11/21 00:00,2,2,0
2151ba2969cbe00e914848f5785604bcafe77af1,05/08/21 00:00,7,7,0
7f9c96f60ea308410c654d055705d6616c0801b0,15/10/22 00:00,5,4,0
c3744bdc96ae74cf0e9d4e361b271f611996a6db,04/07/21 00:00,8,8,0
a367d60186d7d6494f74d49e55459f3cab60e786,24/01/22 00:00,8,8,0
a388e9b8d14e46ec5dade7ca301df9a37ac5ec10,24/06/22 00:00,6,5,0
afeefe65c1cb07ced87442bde2a5f4e110db9301,12/01/23 00:00,5,5,0
6974093e63dab3badcf702a0f06f4997941cb101,24/11/21 00:00,1,1,0
5cc437b3bd7e81c2433c1ea9ebcc65ad0078a341,21/07/21 00:00,2,2,0
b3f8e643969956f792ce2fc2fc56387a168f80fe,28/05/22 00:00,3,3,0
055f83a70d0ed08c667fb4b9148ed2880c7c03fa,21/02/21 00:00,2,1,0
d428568a2a36cce96f35712396edddf50fecafb5,25/12/22 00:00,1,1,0
d7a5922adbaf38d3e18015fae667ac4d94139842,12/10/22 00:00,2,2,0
ee41f89ba3ff7ee9b98465e939822bce60756490,26/07/21 00:00,0,0,0
fa40b0b7edfa25881ce3d7f6d5f7a3162b976f3c,02/05/22 00:00,5,5,0
530f83baa45b90639ccf59501e19677c08260ee0,15/08/22 00:00,15,11,0
c318aa34b1f3c7ea26f5b4aa4dde988322450f1e,06/02/22 00:00,12,3,0
779420808de381b19aff1904600c04fd42eeacfa,11/04/21 00:00,3,3,0
e4cbd5247b8ccb1918b45943822a99a627eb03ef,22/04/22 00:00,0,0,0
6033a4b28b8df695c0af401caf013782c696b2a2,24/10/22 00:00,14,11,0
f688984cb30d94fe034d4613be1c4d63fe4d2db7,15/06/22 00:00,11,9,0
0927eb03804932b4acf1b6609f7e2392eee0f43a,16/01/22 00:00,1,0,0
950ecfee6ee85398628e33a256daccedab6c5e7e,06/07/22 00:00,3,3,0
27e370e2d4aad1d08e8efd5c345cd7791b4ae366,17/09/21 00:00,21,21,0
571376fd4c435fbb16dd70c3f0b5e3c5d85b8f30,07/05/23 00:00,1,1,0
d5628566d3802b955ded4b24a3de9c4d09a41122,18/05/23 00:00,22,20,5
6599ad7658a6af02e12e2f5970c1b5f5a6958277,24/05/23 00:00,2,2,0
d5628566d3802b955ded4b24a3de9c4d09a41122,29/05/23 00:00,1,1,1
928ba59865f0faa956fac10dd984e4d9675d59f6,21/06/23 00:00,1,1,0
de81b7c1eb5930a2da509465179a1962030d1ef7,20/06/23 00:00,1,1,0
cded88cc28544571d366e20c9bc5267997f10f92,29/06/23 00:00,4,4,1
d8b101af779fa01f08c538ff878fa2eb130f5c61,04/08/23 00:00,1,1,0
5262700c7e039b7c72f9dd608beb3652c1e0530c,19/08/23 00:00,5,5,0
